Sector,Institution,Discipline Area,Subject Field,Level of Degree or Certificate,Awards in FY 2002,Awards in FY 2003,Awards in FY 2004,Awards in FY 2005,Awards in FY 2006,Awards in FY 2007,Awards in FY 2008,Awards in FY 2009,Awards in FY 2010,Awards in FY 2011
University Main Campuses,Ohio State University,Engineering,Architecture,Doctoral Degree - Research|Scholarship,2,2,6,0,3,4,4,3,6,2
University Main Campuses,Ohio State University,Engineering,Architecture,Master's Degree,46,52,67,53,60,72,71,75,76,83
University Main Campuses,Ohio State University,Engineering,Aviation,Bachelor's Degree,72,60,56,42,54,45,38,43,47,41
University Main Campuses,Ohio State University,Engineering,Chemical Engineering,Bachelor's Degree,72,54,57,52,49,49,49,73,96,115
University Main Campuses,Ohio State University,Engineering,Chemical Engineering,Doctoral Degree - Research|Scholarship,8,7,7,19,21,11,11,15,18,13
University Main Campuses,Ohio State University,Engineering,Chemical Engineering,Master's Degree,6,4,2,3,2,5,6,16,12,12
University Main Campuses,Ohio State University,Engineering,Civil Engineering,Bachelor's Degree,54,58,87,71,77,81,92,70,99,120
University Main Campuses,Ohio State University,Engineering,Civil Engineering,Doctoral Degree - Research|Scholarship,3,4,2,5,6,3,9,4,5,1
University Main Campuses,Ohio State University,Engineering,Civil Engineering,Master's Degree,25,20,18,17,18,17,11,22,23,24
University Main Campuses,Ohio State University,Engineering,Computer Engineering,Bachelor's Degree,0,0,0,0,0,0,0,0,84,110
University Main Campuses,Ohio State University,Engineering,Computer Engineering,Doctoral Degree - Research|Scholarship,0,0,0,0,0,0,0,0,19,20
University Main Campuses,Ohio State University,Engineering,Computer Engineering,Master's Degree,0,0,0,0,0,0,0,0,65,54
University Main Campuses,Ohio State University,Engineering,"Electrical, Electronics, and Communications Engineering",Bachelor's Degree,147,176,180,195,186,176,130,132,149,125
University Main Campuses,Ohio State University,Engineering,"Electrical, Electronics, and Communications Engineering",Doctoral Degree - Research|Scholarship,26,17,16,21,38,39,35,19,28,30
University Main Campuses,Ohio State University,Engineering,"Electrical, Electronics, and Communications Engineering",Master's Degree,65,95,85,87,58,60,42,62,64,65
University Main Campuses,Ohio State University,Engineering,Materials Engineering,Bachelor's Degree,25,30,27,28,35,28,24,24,30,36
University Main Campuses,Ohio State University,Engineering,Materials Engineering,Doctoral Degree - Research|Scholarship,3,8,9,10,18,8,13,19,11,10
University Main Campuses,Ohio State University,Engineering,Materials Engineering,Master's Degree,23,24,22,20,24,23,27,15,25,20
University Main Campuses,Ohio State University,Engineering,"Mechanical, Industrial, and Manufacturing Engineering",Bachelor's Degree,126,122,255,251,268,261,232,246,294,330
University Main Campuses,Ohio State University,Engineering,"Mechanical, Industrial, and Manufacturing Engineering",Doctoral Degree - Research|Scholarship,22,7,18,19,22,21,36,36,33,24
University Main Campuses,Ohio State University,Engineering,"Mechanical, Industrial, and Manufacturing Engineering",Master's Degree,42,43,108,122,105,79,94,88,74,98
University Main Campuses,Ohio State University,Engineering,Other Engineering,Bachelor's Degree,88,113,146,156,161,119,132,112,138,163
University Main Campuses,Ohio State University,Engineering,Other Engineering,Doctoral Degree - Research|Scholarship,15,8,23,12,13,16,19,14,11,18
University Main Campuses,Ohio State University,Engineering,Other Engineering,Master's Degree,23,38,30,33,38,32,36,71,64,71
University Main Campuses,Ohio State University,Engineering,Survey Technology,Bachelor's Degree,8,7,1,11,18,6,1,6,5,2
University Main Campuses,Ohio State University,Engineering,Survey Technology,Doctoral Degree - Research|Scholarship,8,4,6,4,3,4,7,6,4,4
University Main Campuses,Ohio State University,Engineering,Survey Technology,Master's Degree,8,18,6,11,8,7,12,9,6,14
University Main Campuses,Ohio State University,Health,Athletic Training,Bachelor's Degree,0,0,25,30,34,32,13,18,16,18
University Main Campuses,Ohio State University,Health,Communications Disorders,Bachelor's Degree,49,54,54,43,65,71,75,106,154,145
University Main Campuses,Ohio State University,Health,Communications Disorders,Doctoral Degree - Professional Practice,0,0,0,0,0,5,8,7,6,8
University Main Campuses,Ohio State University,Health,Communications Disorders,Doctoral Degree - Research|Scholarship,3,3,3,1,0,0,2,3,4,4
University Main Campuses,Ohio State University,Health,Communications Disorders,Master's Degree,33,25,22,35,28,25,24,20,25,23
University Main Campuses,Ohio State University,Health,"Dentistry, Orthodontics, Periodontics",Bachelor's Degree,25,33,33,33,32,33,40,42,34,41
University Main Campuses,Ohio State University,Health,"Dentistry, Orthodontics, Periodontics",Doctoral Degree - Professional Practice,97,88,101,102,99,90,99,106,101,104
University Main Campuses,Ohio State University,Health,"Dentistry, Orthodontics, Periodontics",Doctoral Degree - Research|Scholarship,3,1,2,2,4,2,5,4,4,1
University Main Campuses,Ohio State University,Health,"Dentistry, Orthodontics, Periodontics",Master's Degree,24,32,24,24,25,26,31,30,25,23
University Main Campuses,Ohio State University,Health,Dietetics & Nutrition,Bachelor's Degree,35,48,15,48,36,42,20,18,23,23
University Main Campuses,Ohio State University,Health,Dietetics & Nutrition,Doctoral Degree - Research|Scholarship,2,8,0,0,0,0,0,0,0,0
University Main Campuses,Ohio State University,Health,Dietetics & Nutrition,Master's Degree,1,0,0,0,0,0,0,0,0,0
University Main Campuses,Ohio State University,Health,Dietetics & Nutrition,Post-Baccalaureate Certificate,0,0,1,0,0,0,0,0,0,0
University Main Campuses,Ohio State University,Health,General Health/Public Health,Doctoral Degree - Research|Scholarship,4,4,6,4,5,1,6,6,4,7
University Main Campuses,Ohio State University,Health,General Health/Public Health,Master's Degree,42,54,46,55,65,71,70,85,87,99
University Main Campuses,Ohio State University,Health,Health Administration and Management,Bachelor's Degree,20,14,17,24,20,23,25,18,22,26
University Main Campuses,Ohio State University,Health,Health Administration and Management,Master's Degree,23,20,29,25,25,32,25,25,31,29
University Main Campuses,Ohio State University,Health,Health Administration and Management,Post-Baccalaureate Certificate,1,0,0,0,1,0,0,0,0,0
University Main Campuses,Ohio State University,Health,Health Aides and Assisting,Bachelor's Degree,0,0,0,36,136,175,105,103,90,98
University Main Campuses,Ohio State University,Health,Laboratory Technology,Bachelor's Degree,9,11,16,27,41,43,33,40,44,33
University Main Campuses,Ohio State University,Health,Laboratory Technology,Post-Baccalaureate Certificate,0,2,0,1,2,2,1,0,1,4
University Main Campuses,Ohio State University,Health,Medicine MD,Doctoral Degree - Professional Practice,208,189,202,211,202,194,202,196,201,206
University Main Campuses,Ohio State University,Health,Medicine MD,Doctoral Degree - Research|Scholarship,1,0,0,0,0,0,0,0,0,0
University Main Campuses,Ohio State University,Health,Medicine MD,Master's Degree,2,0,0,0,0,0,0,0,0,0
University Main Campuses,Ohio State University,Health,Mental Health Services and Therapy,Bachelor's Degree,20,19,0,0,0,0,0,0,0,0
University Main Campuses,Ohio State University,Health,Optometry,Bachelor's Degree,0,0,0,1,1,0,0,0,0,0
University Main Campuses,Ohio State University,Health,Optometry,Doctoral Degree - Professional Practice,63,61,56,58,62,57,62,68,62,62
University Main Campuses,Ohio State University,Health,Optometry,Doctoral Degree - Research|Scholarship,1,1,2,1,1,1,2,2,0,0
University Main Campuses,Ohio State University,Health,Optometry,Master's Degree,3,6,10,7,12,14,12,13,0,0
University Main Campuses,Ohio State University,Health,Other Health,Bachelor's Degree,7,14,14,14,12,17,22,14,13,0
University Main Campuses,Ohio State University,Health,Other Health,Doctoral Degree - Research|Scholarship,0,0,0,0,0,0,0,0,1,2
University Main Campuses,Ohio State University,Health,Other Health,Master's Degree,15,16,18,17,19,18,26,19,25,14
University Main Campuses,Ohio State University,Health,Other Health,Post-Baccalaureate Certificate,2,4,1,0,3,2,1,1,1,0
University Main Campuses,Ohio State University,Health,Pharmacy,Bachelor's Degree,106,71,78,69,101,115,131,118,110,118
University Main Campuses,Ohio State University,Health,Pharmacy,Doctoral Degree - Professional Practice,61,49,78,117,131,128,137,136,131,135
University Main Campuses,Ohio State University,Health,Pharmacy,Doctoral Degree - Research|Scholarship,17,12,15,19,19,12,11,18,11,12
University Main Campuses,Ohio State University,Health,Pharmacy,Master's Degree,11,9,12,10,17,10,19,13,9,8
University Main Campuses,Ohio State University,Health,Physical Therapy,Bachelor's Degree,48,0,0,0,0,0,0,0,0,0
University Main Campuses,Ohio State University,Health,Physical Therapy,Doctoral Degree - Professional Practice,0,0,0,0,0,0,0,0,31,36
University Main Campuses,Ohio State University,Health,Physical Therapy,Doctoral Degree - Research|Scholarship,0,0,0,0,0,0,18,25,0,0
University Main Campuses,Ohio State University,Health,Physical Therapy,Master's Degree,0,0,58,35,36,17,12,11,0,0
University Main Campuses,Ohio State University,Health,Radiology and Sonography,Bachelor's Degree,19,18,26,21,20,25,31,45,38,43
University Main Campuses,Ohio State University,Health,Radiology and Sonography,Post-Baccalaureate Certificate,0,1,0,0,0,0,0,0,0,0
University Main Campuses,Ohio State University,Health,Registered Nurse,Bachelor's Degree,132,116,106,140,154,178,194,215,234,260
University Main Campuses,Ohio State University,Health,Registered Nurse,Doctoral Degree - Professional Practice,0,0,0,0,0,0,0,0,0,11
University Main Campuses,Ohio State University,Health,Registered Nurse,Doctoral Degree - Research|Scholarship,2,4,3,4,2,5,7,7,2,1
University Main Campuses,Ohio State University,Health,Registered Nurse,Master's Degree,46,56,69,65,69,54,76,100,102,102
University Main Campuses,Ohio State University,Health,Rehabilitation Services,Bachelor's Degree,54,49,28,4,0,0,0,0,0,0
University Main Campuses,Ohio State University,Health,Rehabilitation Services,Master's Degree,0,0,0,23,27,28,33,40,44,0
University Main Campuses,Ohio State University,Health,Respiratory Therapy,Bachelor's Degree,10,13,15,14,18,19,19,19,19,22
University Main Campuses,Ohio State University,Health,Respiratory Therapy,Post-Baccalaureate Certificate,0,1,0,0,0,0,0,0,1,0
University Main Campuses,Ohio State University,Health,Veterinary Medicine,Bachelor's Degree,3,0,0,0,0,0,0,0,0,0
University Main Campuses,Ohio State University,Health,Veterinary Medicine,Doctoral Degree - Professional Practice,130,135,135,130,135,139,135,139,142,138
University Main Campuses,Ohio State University,Health,Veterinary Medicine,Doctoral Degree - Research|Scholarship,16,13,13,16,13,19,9,14,10,13
University Main Campuses,Ohio State University,Health,Veterinary Medicine,Master's Degree,13,12,14,25,23,18,20,17,13,23
University Main Campuses,Ohio State University,Law,Legal Studies,Doctoral Degree - Professional Practice,216,217,210,224,259,226,217,233,202,231
University Main Campuses,Ohio State University,Law,Legal Studies,Doctoral Degree - Research|Scholarship,1,0,0,0,0,0,0,0,0,0
University Main Campuses,Ohio State University,Law,Legal Studies,Master's Degree,0,0,0,0,0,1,2,22,9,15
University Main Campuses,Ohio State University,Natural Science & Mathematics,"Agricultural Business, Operations & Management",Associate Degree,0,0,0,0,0,0,0,0,2,1
University Main Campuses,Ohio State University,Natural Science & Mathematics,"Agricultural Business, Operations & Management",Bachelor's Degree,37,31,63,80,65,71,68,53,42,66
University Main Campuses,Ohio State University,Natural Science & Mathematics,"Agricultural Business, Operations & Management",Post-Baccalaureate Certificate,0,0,0,0,0,0,0,0,5,0
University Main Campuses,Ohio State University,Natural Science & Mathematics,Agricultural Science,Bachelor's Degree,259,244,211,245,212,231,275,346,372,380
University Main Campuses,Ohio State University,Natural Science & Mathematics,Agricultural Science,Doctoral Degree - Research|Scholarship,28,33,26,31,30,26,28,26,26,33
University Main Campuses,Ohio State University,Natural Science & Mathematics,Agricultural Science,Master's Degree,36,34,52,47,45,45,44,54,47,47
University Main Campuses,Ohio State University,Natural Science & Mathematics,Agricultural Science,Post-Baccalaureate Certificate,0,0,0,0,0,0,0,0,1,0
University Main Campuses,Ohio State University,Natural Science & Mathematics,Agricultural Science,Post-Master's Certificate,0,1,0,0,1,1,0,0,0,0
University Main Campuses,Ohio State University,Natural Science & Mathematics,Biological and Biomedical Sciences,Bachelor's Degree,321,353,398,366,479,547,519,582,603,662
University Main Campuses,Ohio State University,Natural Science & Mathematics,Biological and Biomedical Sciences,Doctoral Degree - Research|Scholarship,68,68,82,74,59,80,103,103,92,100
University Main Campuses,Ohio State University,Natural Science & Mathematics,Biological and Biomedical Sciences,Master's Degree,56,52,65,49,73,75,69,62,72,63
University Main Campuses,Ohio State University,Natural Science & Mathematics,Chemistry,Bachelor's Degree,46,47,44,41,46,39,46,38,49,64
University Main Campuses,Ohio State University,Natural Science & Mathematics,Chemistry,Doctoral Degree - Research|Scholarship,30,27,22,27,25,24,30,25,37,35
University Main Campuses,Ohio State University,Natural Science & Mathematics,Chemistry,Master's Degree,18,18,17,18,16,22,10,10,18,13
University Main Campuses,Ohio State University,Natural Science & Mathematics,Computer Science,Bachelor's Degree,185,196,175,136,125,142,119,128,53,57
University Main Campuses,Ohio State University,Natural Science & Mathematics,Computer Science,Doctoral Degree - Research|Scholarship,5,7,7,9,17,17,31,24,0,0
University Main Campuses,Ohio State University,Natural Science & Mathematics,Computer Science,Master's Degree,22,26,37,26,20,33,37,41,0,0
University Main Campuses,Ohio State University,Natural Science & Mathematics,"Foresty, Wildlife, and Natural Resources",Bachelor's Degree,87,105,100,95,82,74,75,61,77,110
University Main Campuses,Ohio State University,Natural Science & Mathematics,"Foresty, Wildlife, and Natural Resources",Doctoral Degree - Research|Scholarship,5,3,4,2,6,6,9,4,3,3
University Main Campuses,Ohio State University,Natural Science & Mathematics,"Foresty, Wildlife, and Natural Resources",Master's Degree,7,16,14,15,8,7,15,11,11,14
University Main Campuses,Ohio State University,Natural Science & Mathematics,Geology and Hydrology,Bachelor's Degree,14,9,12,9,10,12,11,17,20,20
University Main Campuses,Ohio State University,Natural Science & Mathematics,Geology and Hydrology,Doctoral Degree - Research|Scholarship,5,4,2,2,4,4,7,4,8,2
University Main Campuses,Ohio State University,Natural Science & Mathematics,Geology and Hydrology,Master's Degree,7,7,11,8,14,9,4,12,3,11
University Main Campuses,Ohio State University,Natural Science & Mathematics,Interdisciplinary Math & Science,Bachelor's Degree,0,0,0,0,0,0,0,0,0,32
University Main Campuses,Ohio State University,Natural Science & Mathematics,Interdisciplinary Math & Science,Doctoral Degree - Research|Scholarship,0,0,4,3,6,3,4,4,5,0
University Main Campuses,Ohio State University,Natural Science & Mathematics,Interdisciplinary Math & Science,Master's Degree,0,0,0,0,0,0,1,0,0,0
University Main Campuses,Ohio State University,Natural Science & Mathematics,Mathematics and Statistics,Bachelor's Degree,50,54,64,78,47,58,55,51,56,62
University Main Campuses,Ohio State University,Natural Science & Mathematics,Mathematics and Statistics,Doctoral Degree - Research|Scholarship,6,12,14,12,24,20,16,30,29,28
University Main Campuses,Ohio State University,Natural Science & Mathematics,Mathematics and Statistics,Master's Degree,42,46,65,67,62,54,70,46,51,58
University Main Campuses,Ohio State University,Natural Science & Mathematics,Physical Sciences,Bachelor's Degree,5,3,5,3,3,3,5,4,3,5
University Main Campuses,Ohio State University,Natural Science & Mathematics,Physical Sciences,Doctoral Degree - Research|Scholarship,3,5,3,2,8,10,3,4,6,3
University Main Campuses,Ohio State University,Natural Science & Mathematics,Physical Sciences,Master's Degree,8,4,8,4,3,8,7,5,8,9
University Main Campuses,Ohio State University,Natural Science & Mathematics,Physics,Bachelor's Degree,16,17,19,23,21,36,35,23,26,39
University Main Campuses,Ohio State University,Natural Science & Mathematics,Physics,Doctoral Degree - Research|Scholarship,18,27,15,17,23,19,18,20,33,30
University Main Campuses,Ohio State University,Natural Science & Mathematics,Physics,Master's Degree,15,13,16,14,11,24,17,19,21,13
University Main Campuses,Ohio State University,Services,Culinary Arts,Bachelor's Degree,87,79,0,0,0,0,0,0,0,0
University Main Campuses,Ohio State University,Services,Culinary Arts,Doctoral Degree - Research|Scholarship,11,5,0,0,0,0,0,0,0,0
University Main Campuses,Ohio State University,Services,Culinary Arts,Master's Degree,20,36,0,0,0,0,0,0,0,0
University Main Campuses,Ohio State University,Services,Protective Services,Bachelor's Degree,210,216,231,222,217,190,185,172,161,181
University Main Campuses,Ohio State University,Services,Sports and Recreation,Bachelor's Degree,42,64,86,68,61,64,82,111,102,148
University Main Campuses,Ohio State University,Social & Behavioral Sciences,Anthropology,Bachelor's Degree,60,53,51,55,56,79,79,69,78,93
University Main Campuses,Ohio State University,Social & Behavioral Sciences,Anthropology,Doctoral Degree - Research|Scholarship,4,7,6,2,4,5,3,5,5,8
University Main Campuses,Ohio State University,Social & Behavioral Sciences,Anthropology,Master's Degree,4,4,12,6,6,6,5,6,7,4
University Main Campuses,Ohio State University,Social & Behavioral Sciences,"Area, Ethnic, Cultural, and Gender Studies",Bachelor's Degree,45,65,49,53,53,51,38,26,41,38
University Main Campuses,Ohio State University,Social & Behavioral Sciences,"Area, Ethnic, Cultural, and Gender Studies",Doctoral Degree - Research|Scholarship,0,0,0,0,0,0,3,1,3,6
University Main Campuses,Ohio State University,Social & Behavioral Sciences,"Area, Ethnic, Cultural, and Gender Studies",Master's Degree,33,23,18,18,14,20,18,9,20,17
University Main Campuses,Ohio State University,Social & Behavioral Sciences,Economics (Social Science),Bachelor's Degree,153,166,161,189,167,161,224,218,226,220
University Main Campuses,Ohio State University,Social & Behavioral Sciences,Economics (Social Science),Doctoral Degree - Research|Scholarship,9,9,11,10,15,16,15,11,15,20
University Main Campuses,Ohio State University,Social & Behavioral Sciences,Economics (Social Science),Master's Degree,30,39,28,30,39,32,23,29,30,26
University Main Campuses,Ohio State University,Social & Behavioral Sciences,Family and Consumer Studies,Bachelor's Degree,688,772,801,832,783,769,814,882,796,773
University Main Campuses,Ohio State University,Social & Behavioral Sciences,Family and Consumer Studies,Doctoral Degree - Research|Scholarship,20,10,12,9,20,22,17,14,8,11
University Main Campuses,Ohio State University,Social & Behavioral Sciences,Family and Consumer Studies,Master's Degree,17,29,17,20,19,16,21,14,18,16
University Main Campuses,Ohio State University,Social & Behavioral Sciences,Geography,Bachelor's Degree,59,53,60,64,67,66,73,58,57,70
University Main Campuses,Ohio State University,Social & Behavioral Sciences,Geography,Doctoral Degree - Research|Scholarship,9,1,3,4,6,5,11,11,9,7
University Main Campuses,Ohio State University,Social & Behavioral Sciences,Geography,Master's Degree,7,7,14,13,1,5,13,12,8,7
University Main Campuses,Ohio State University,Social & Behavioral Sciences,History,Bachelor's Degree,0,0,209,190,195,243,239,223,221,230
University Main Campuses,Ohio State University,Social & Behavioral Sciences,History,Doctoral Degree - Research|Scholarship,0,0,14,20,14,8,14,14,16,20
University Main Campuses,Ohio State University,Social & Behavioral Sciences,History,Master's Degree,0,0,11,21,21,18,12,21,17,12
University Main Campuses,Ohio State University,Social & Behavioral Sciences,Interdisciplinary Social Sciences,Bachelor's Degree,35,53,76,80,101,80,72,60,65,66
University Main Campuses,Ohio State University,Social & Behavioral Sciences,Interdisciplinary Social Sciences,Doctoral Degree - Research|Scholarship,0,2,2,1,0,0,1,0,1,1
University Main Campuses,Ohio State University,Social & Behavioral Sciences,Interdisciplinary Social Sciences,Master's Degree,7,3,4,2,9,7,5,8,5,6
University Main Campuses,Ohio State University,Social & Behavioral Sciences,Political Science,Bachelor's Degree,294,362,403,422,500,558,558,546,588,607
University Main Campuses,Ohio State University,Social & Behavioral Sciences,Political Science,Doctoral Degree - Research|Scholarship,12,20,8,16,9,10,9,12,15,15
University Main Campuses,Ohio State University,Social & Behavioral Sciences,Political Science,Master's Degree,16,10,11,21,24,22,9,17,20,5
University Main Campuses,Ohio State University,Social & Behavioral Sciences,Political Science,Post-Baccalaureate Certificate,0,0,3,3,0,0,2,0,0,1
University Main Campuses,Ohio State University,Social & Behavioral Sciences,Psychology,Bachelor's Degree,421,482,433,512,503,537,515,557,580,712
University Main Campuses,Ohio State University,Social & Behavioral Sciences,Psychology,Doctoral Degree - Research|Scholarship,26,24,16,27,41,26,26,20,22,23
University Main Campuses,Ohio State University,Social & Behavioral Sciences,Psychology,Master's Degree,25,34,33,24,17,24,16,15,21,25
University Main Campuses,Ohio State University,Social & Behavioral Sciences,Public Administration and Services,Doctoral Degree - Research|Scholarship,2,3,1,0,2,4,2,3,1,2
University Main Campuses,Ohio State University,Social & Behavioral Sciences,Public Administration and Services,Master's Degree,35,43,32,35,32,46,35,63,57,68
University Main Campuses,Ohio State University,Social & Behavioral Sciences,Social Work,Bachelor's Degree,77,60,70,62,73,82,75,72,86,101
University Main Campuses,Ohio State University,Social & Behavioral Sciences,Social Work,Doctoral Degree - Research|Scholarship,4,7,4,4,2,6,5,1,9,11
University Main Campuses,Ohio State University,Social & Behavioral Sciences,Social Work,Master's Degree,179,157,163,198,170,229,182,186,210,270
University Main Campuses,Ohio State University,Social & Behavioral Sciences,Sociology and Related Social Sciences,Bachelor's Degree,171,175,173,190,191,187,195,163,149,139
University Main Campuses,Ohio State University,Social & Behavioral Sciences,Sociology and Related Social Sciences,Doctoral Degree - Research|Scholarship,7,5,8,7,3,14,14,20,25,10
University Main Campuses,Ohio State University,Social & Behavioral Sciences,Sociology and Related Social Sciences,Master's Degree,18,15,24,20,23,11,20,11,9,10
University Main Campuses,Ohio University,Arts & Humanities,Communications,Associate Degree,5,1,0,0,0,0,0,0,0,0
University Main Campuses,Ohio University,Arts & Humanities,Communications,Bachelor's Degree,147,158,428,430,398,315,344,273,206,478
University Main Campuses,Ohio University,Arts & Humanities,Communications,Doctoral Degree - Research|Scholarship,0,0,6,16,15,23,9,17,19,15
University Main Campuses,Ohio University,Arts & Humanities,Communications,Master's Degree,14,16,18,26,23,17,21,14,8,15
University Main Campuses,Ohio University,Arts & Humanities,Design,Bachelor's Degree,0,0,15,15,17,14,16,21,16,21
University Main Campuses,Ohio University,Arts & Humanities,English,Bachelor's Degree,388,351,124,97,98,97,108,213,292,96
University Main Campuses,Ohio University,Arts & Humanities,English,Doctoral Degree - Research|Scholarship,19,26,4,3,6,8,4,6,8,7
University Main Campuses,Ohio University,Arts & Humanities,English,Master's Degree,23,16,14,24,12,14,21,18,17,20
University Main Campuses,Ohio University,Arts & Humanities,Foreign Languages: Classics and Classical,Bachelor's Degree,6,3,5,5,3,1,4,9,1,4
University Main Campuses,Ohio University,Arts & Humanities,Foreign Languages: Germanic,Bachelor's Degree,1,4,3,3,8,4,7,4,4,6
University Main Campuses,Ohio University,Arts & Humanities,Foreign Languages: Romance,Bachelor's Degree,28,36,37,40,31,39,36,35,32,30
University Main Campuses,Ohio University,Arts & Humanities,Foreign Languages: Romance,Master's Degree,13,14,15,11,6,14,12,10,12,15
University Main Campuses,Ohio University,Arts & Humanities,"Foreign Languages: Slavic, Baltic and Albanian",Bachelor's Degree,1,2,1,0,0,0,0,1,2,4
University Main Campuses,Ohio University,Arts & Humanities,"Foreign Languages: Slavic, Baltic and Albanian",Less than One-Year Award,1,0,0,0,0,0,0,0,0,0
University Main Campuses,Ohio University,Arts & Humanities,Journalism,Bachelor's Degree,320,367,292,285,279,265,254,262,253,274
University Main Campuses,Ohio University,Arts & Humanities,Journalism,Doctoral Degree - Research|Scholarship,4,1,4,2,3,0,2,7,2,2
University Main Campuses,Ohio University,Arts & Humanities,Journalism,Master's Degree,26,26,15,21,32,29,16,16,23,14
University Main Campuses,Ohio University,Arts & Humanities,Liberal and General Studies,Associate Degree,33,35,39,37,56,49,41,35,45,46
University Main Campuses,Ohio University,Arts & Humanities,Liberal and General Studies,Bachelor's Degree,236,238,301,284,304,266,231,237,215,215
University Main Campuses,Ohio University,Arts & Humanities,Liberal and General Studies,Less than One-Year Award,13,6,26,32,36,20,15,17,19,28
University Main Campuses,Ohio University,Arts & Humanities,Liberal and General Studies,Post-Baccalaureate Certificate,10,0,5,15,15,15,10,16,25,10
University Main Campuses,Ohio University,Arts & Humanities,Linguistics,Bachelor's Degree,5,6,5,4,5,14,4,6,9,14
University Main Campuses,Ohio University,Arts & Humanities,Linguistics,Master's Degree,21,22,17,22,19,19,20,25,23,16
University Main Campuses,Ohio University,Arts & Humanities,"Music, Other",Bachelor's Degree,0,0,0,1,3,1,1,5,2,1
University Main Campuses,Ohio University,Arts & Humanities,"Music, Other",Master's Degree,0,0,2,3,0,3,2,4,1,1
University Main Campuses,Ohio University,Arts & Humanities,"Music, Performance",Bachelor's Degree,26,32,31,28,34,19,21,14,24,17
University Main Campuses,Ohio University,Arts & Humanities,"Music, Performance",Master's Degree,10,22,10,15,15,12,14,18,10,23
University Main Campuses,Ohio University,Arts & Humanities,"Music, Performance",Post-Baccalaureate Certificate,0,0,0,1,0,0,0,0,0,0
University Main Campuses,Ohio University,Arts & Humanities,Philosophy and Religious Studies,Bachelor's Degree,14,11,9,12,22,11,12,16,12,14
University Main Campuses,Ohio University,Arts & Humanities,Philosophy and Religious Studies,Less than One-Year Award,0,0,0,0,0,0,0,1,1,5
University Main Campuses,Ohio University,Arts & Humanities,Philosophy and Religious Studies,Master's Degree,0,3,0,5,4,2,1,4,7,3
University Main Campuses,Ohio University,Arts & Humanities,"Photography, Video and Cinema",Bachelor's Degree,18,20,16,14,15,11,10,8,6,7
University Main Campuses,Ohio University,Arts & Humanities,"Photography, Video and Cinema",Master's Degree,18,11,33,28,27,31,19,34,37,20
University Main Campuses,Ohio University,Arts & Humanities,Theatre,Bachelor's Degree,23,27,41,31,28,24,22,19,34,37
University Main Campuses,Ohio University,Arts & Humanities,Theatre,Master's Degree,19,31,32,13,13,26,18,15,18,16
University Main Campuses,Ohio University,Arts & Humanities,"Visual and Performing Arts, Other",Bachelor's Degree,62,46,35,46,58,41,41,28,31,33
University Main Campuses,Ohio University,Arts & Humanities,"Visual and Performing Arts, Other",Doctoral Degree - Research|Scholarship,1,2,1,6,7,4,5,2,1,3
University Main Campuses,Ohio University,Arts & Humanities,"Visual and Performing Arts, Other",Master's Degree,4,3,9,5,5,5,6,7,5,4
University Main Campuses,Ohio University,Arts & Humanities,"Visual and Performing Arts: Crafts/Craft Design, Folk Art and Artisanry",Bachelor's Degree,22,33,23,29,28,13,21,25,18,18
University Main Campuses,Ohio University,Arts & Humanities,"Visual and Performing Arts: Crafts/Craft Design, Folk Art and Artisanry",Master's Degree,14,10,16,11,9,11,12,11,8,9
University Main Campuses,Ohio University,Arts & Humanities,Visual and Performing Arts: Dance,Bachelor's Degree,20,11,7,10,6,9,12,18,8,13
University Main Campuses,Ohio University,Business,Accounting,Associate Degree,0,0,0,0,0,0,0,0,0,1
University Main Campuses,Ohio University,Business,Accounting,Bachelor's Degree,35,32,60,62,78,74,69,80,90,107
University Main Campuses,Ohio University,Business,Accounting,Master's Degree,2,0,0,1,0,0,0,0,0,0
University Main Campuses,Ohio University,Business,"Business, Other",Associate Degree,1,9,0,0,0,0,0,0,0,0
University Main Campuses,Ohio University,Business,"Business, Other",Bachelor's Degree,0,0,13,13,8,11,10,9,8,6
University Main Campuses,Ohio University,Business,Computer and Quantitative Business Fields,Associate Degree,0,1,0,0,1,0,1,0,1,0
University Main Campuses,Ohio University,Business,Computer and Quantitative Business Fields,Bachelor's Degree,107,100,63,48,28,32,57,66,88,81
University Main Campuses,Ohio University,Business,Finance,Bachelor's Degree,105,118,132,123,138,107,120,128,100,139
University Main Campuses,Ohio University,Business,Finance,Less than One-Year Award,0,0,0,0,0,0,5,5,6,19
University Main Campuses,Ohio University,Business,Human Resources Management and Labor Studies,Bachelor's Degree,45,62,13,20,13,10,11,18,29,28
University Main Campuses,Ohio University,Business,Human Resources Management and Labor Studies,Master's Degree,25,30,0,0,0,0,0,0,0,0
University Main Campuses,Ohio University,Business,Management,Associate Degree,0,0,0,2,0,1,0,0,1,2
University Main Campuses,Ohio University,Business,Management,Bachelor's Degree,49,28,81,96,82,64,84,42,52,41
University Main Campuses,Ohio University,Business,Management,Master's Degree,66,152,126,140,90,88,77,77,233,92
University Main Campuses,Ohio University,Business,Managerial Economics,Bachelor's Degree,0,0,13,9,10,7,15,12,12,24
University Main Campuses,Ohio University,Business,Marketing,Bachelor's Degree,177,185,135,157,148,143,149,118,145,184
University Main Campuses,Ohio University,Business,Marketing,Doctoral Degree - Research|Scholarship,1,4,0,0,0,0,0,0,0,0
